,Accuracy,F1 (refuse),F1 (don't refuse),AP,ROC-AUC,Rec@alpaca,Rec@mmlu_other,Rec@mmlu_bio,Rec@dual_use,Rec@FPR=1%
TF-IDF,0.9706,0.9379,0.9808,0.9796,0.9932,0.9966,0.9849,0.9314,0.899,0.8251
MiniLM+LR,0.9714,0.9406,0.9812,0.9791,0.9941,0.9983,0.9849,0.9608,0.8081,0.7888
DistilBERT,0.9853,0.9682,0.9905,0.9935,0.9968,1.0,1.0,0.9902,0.9596,0.967
